; loaded params from params2.json
; {"algorithm_type":2,"population_count":10000000,"start_infected":1000,"collapse_threshold":5000,"interaction_circle_count":40,"asymptomatic_ratio":0.5,"isolation_ratio":0.9,"isolation_violators_ratio":0.1,"asymptomatic_days":13,"total_disease_days":25,"spread_prob_isolation":0.001,"spread_prob_not_isolation":0.4,"spread_prob_asymptomatic_isolation":0.0001,"spread_prob_asymptomatic_not_isolation":0.001,"death_prob_normal":0.0008,"death_prob_collapse":0.006}
day, live_count, infected_count, dead_count, isolation_count, immune_count
   0, 10000000,     1000,        0,        0,        0
   1, 10000000,     1042,        0,       34,        0
   2,  9999999,     1071,        1,       56,        0
   3,  9999998,     1113,        2,       92,        0
   4,  9999996,     1156,        4,      120,        0
   5,  9999996,     1188,        4,      146,        0
   6,  9999996,     1231,        4,      179,        0
   7,  9999995,     1273,        5,      215,        0
   8,  9999995,     1327,        5,      258,        0
   9,  9999995,     1365,        5,      292,        0
  10,  9999995,     1417,        5,      336,        0
  11,  9999995,     1455,        5,      368,        0
  12,  9999992,     1505,        8,      410,        0
  13,  9999991,     1554,        9,      452,        0
  14,  9999989,     9422,       11,     6814,        0
  15,  9999923,    14193,       77,    10872,        0
  16,  9999800,    16924,      200,    13338,        0
  17,  9999689,    18754,      311,    15104,        0
  18,  9999555,    19973,      445,    16305,        0
  19,  9999448,    20730,      552,    17129,        0
  20,  9999303,    21247,      697,    17687,        0
  21,  9999192,    21589,      808,    18058,        0
  22,  9999076,    21879,      924,    18380,        0
  23,  9998942,    22113,     1058,    18618,        0
  24,  9998809,    22279,     1191,    18787,        0
  25,  9998700,    22505,     1300,    18997,        0
  26,  9998564,    21704,     1436,    19101,      932
  27,  9998419,    23013,     1581,    20176,      968
  28,  9998293,    28467,     1707,    24717,     1002
  29,  9998090,    34334,     1910,    29739,     1035
  30,  9997866,    38916,     2134,    33802,     1077
  31,  9997620,    42287,     2380,    36878,     1111
  32,  9997356,    44792,     2644,    39218,     1150
  33,  9997102,    46687,     2898,    40988,     1189
  34,  9996856,    48171,     3144,    42383,     1232
  35,  9996557,    49479,     3443,    43603,     1276
  36,  9996255,    50516,     3745,    44546,     1317
  37,  9995932,    51462,     4068,    45424,     1354
  38,  9995638,    52365,     4362,    46261,     1396
  39,  9995346,    51512,     4654,    45501,     3020
  40,  9995072,    46069,     4928,    40647,     9153
  41,  9994786,    44993,     5214,    39605,    12918
  42,  9994517,    47780,     5483,    41814,    15233
  43,  9994242,    52520,     5758,    45761,    16809
  44,  9993919,    57380,     6081,    50022,    17840
  45,  9993568,    61796,     6432,    53947,    18547
  46,  9993192,    65488,     6808,    57339,    19063
  47,  9992798,    68737,     7202,    60289,    19439
  48,  9992400,    71764,     7600,    63018,    19787
  49,  9991961,    74573,     8039,    65621,    20077
  50,  9991531,    77072,     8469,    67903,    20363
  51,  9991072,    79514,     8928,    70110,    20641
  52,  9990561,    81728,     9439,    72107,    20873
  53,  9990096,    80675,     9904,    71219,    23851
  54,  9989657,    77871,    10343,    68686,    28783
  55,  9989190,    76922,    10810,    67652,    33632
  56,  9988736,    79428,    11264,    69612,    37359
  57,  9988244,    83887,    11756,    73366,    40395
  58,  9987753,    89353,    12247,    78068,    42595
  59,  9987226,    94796,    12774,    82940,    44316
  60,  9986662,   100225,    13338,    87721,    45738
  61,  9986080,   104844,    13920,    91951,    47139
  62,  9985451,   109265,    14549,    95883,    48311
  63,  9984788,   113420,    15212,    99654,    49419
  64,  9984132,   117318,    15868,   103189,    50469
  65,  9983409,   121094,    16591,   106618,    51298
  66,  9982731,   124696,    17269,   109814,    52367
  67,  9981966,   124925,    18034,   110061,    55856
  68,  9981217,   123712,    18783,   108957,    60901
  69,  9980528,   123979,    19472,   109076,    66594
  70,  9979812,   126808,    20188,   111363,    71684
  71,  9979086,   131689,    20914,   115504,    76112
  72,  9978330,   138119,    21670,   121039,    79958
  73,  9977466,   145038,    22534,   127175,    83354
  74,  9976607,   152202,    23393,   133450,    86623
  75,  9975682,   158987,    24318,   139441,    89445
  76,  9974696,   165099,    25304,   144957,    92235
  77,  9973707,   171192,    26293,   150439,    94824
  78,  9972661,   177330,    27339,   155910,    97237
  79,  9971584,   183449,    28416,   161392,    99360
  80,  9970498,   188815,    29502,   166176,   101975
  81,  9969394,   191709,    30606,   168853,   106368
  82,  9968254,   192987,    31746,   169960,   112612
  83,  9967124,   194873,    32876,   171485,   119496
  84,  9965909,   198314,    34091,   174303,   126390
  85,  9964696,   203675,    35304,   178758,   132930
  86,  9963435,   210201,    36565,   184437,   139211
  87,  9962198,   218332,    37802,   191587,   144592
  88,  9960875,   226808,    39125,   199129,   149880
  89,  9959550,   234770,    40450,   206084,   155064
  90,  9958097,   243266,    41903,   213578,   159791
  91,  9956683,   251961,    43317,   221332,   164334
  92,  9955133,   260787,    44867,   229188,   168700
  93,  9953566,   269968,    46434,   237410,   172559
  94,  9951908,   278101,    48092,   244592,   176900
  95,  9950250,   284191,    49750,   250018,   183187
  96,  9948524,   288550,    51476,   253790,   191273
  97,  9946830,   292513,    53170,   257261,   200378
  98,  9945159,   298157,    54841,   262152,   209815
  99,  9943345,   304999,    56655,   268069,   219596
 100,  9941609,   313157,    58391,   275224,   228932
 101,  9939669,   321921,    60331,   282903,   237916
 102,  9937726,   332526,    62274,   292247,   246323
 103,  9935714,   343156,    64286,   301518,   254558
 104,  9933665,   353769,    66335,   310999,   262592
 105,  9931603,   364659,    68397,   320639,   270470
 106,  9929497,   376195,    70503,   330671,   278110
 107,  9927238,   388157,    72762,   341382,   285292
 108,  9924980,   399614,    75020,   351596,   292855
 109,  9922571,   409336,    77429,   360175,   302012
 110,  9920129,   418084,    79871,   368094,   312368
 111,  9917676,   426124,    82324,   375055,   323928
 112,  9915089,   434801,    84911,   382670,   336352
 113,  9912609,   444180,    87391,   390767,   349255
 114,  9909931,   454100,    90069,   399397,   362130
 115,  9907233,   465997,    92767,   409786,   374369
 116,  9904423,   478241,    95577,   420453,   386906
 117,  9901562,   490679,    98438,   431444,   399665
 118,  9898656,   503637,   101344,   443005,   412117
 119,  9895594,   515897,   104406,   453848,   424633
 120,  9892466,   528981,   107534,   465516,   436846
 121,  9889319,   542886,   110681,   477781,   448937
 122,  9886094,   556497,   113906,   489896,   461180
 123,  9882807,   569202,   117193,   500996,   474560
 124,  9879495,   579909,   120505,   510406,   489665
 125,  9876024,   590436,   123976,   519693,   505475
 126,  9872598,   601494,   127402,   529258,   522255
 127,  9868991,   612803,   131009,   539339,   539587
 128,  9865382,   624490,   134618,   549300,   557913
 129,  9861657,   637121,   138343,   560413,   575802
 130,  9857892,   650775,   142108,   572391,   593626
 131,  9854035,   664583,   145965,   584462,   611703
 132,  9850196,   678440,   149804,   596646,   630085
 133,  9846207,   691822,   153793,   608583,   648491
 134,  9842181,   704853,   157819,   620282,   666926
 135,  9837963,   719805,   162037,   633541,   685185
 136,  9833775,   732860,   166225,   645309,   703862
 137,  9829396,   745252,   170604,   656266,   723213
 138,  9824958,   756094,   175042,   666049,   744184
 139,  9820509,   766310,   179491,   675270,   765578
 140,  9815912,   777721,   184088,   685396,   787722
 141,  9811311,   788184,   188689,   694643,   811097
 142,  9806587,   798896,   193413,   704085,   834796
 143,  9801809,   810145,   198191,   714025,   858705
